"","qKO_rep1","qKO_rep2","qKO_rep3","WT_rep1","WT_rep2","WT_rep3"
"ENSMUSG00000098234.7",1001,1319,846,916,826,986
"ENSMUSG00000093178.1",12,50,14,16,12,36
"ENSMUSG00000099032.2",69,114,34,57,116,69
"ENSMUSG00000104025.1",1,0,0,1,0,1
"ENSMUSG00000025916.10",0,0,0,0,0,0
"ENSMUSG00000087199.1",0,0,0,0,0,0
"ENSMUSG00000095780.1",0,0,0,0,0,0
"ENSMUSG00000025917.9",3471,4237,3549,3721,4299,3777
"ENSMUSG00000056763.16",1935,2253,2118,1881,2043,1313
"ENSMUSG00000102356.1",2,0,0,0,0,0
"ENSMUSG00000067851.11",1864,2466,2030,2276,2246,1936
"ENSMUSG00000088153.1",4,2,0,0,4,0
"ENSMUSG00000102556.1",2,0,0,0,0,0
"ENSMUSG00000042501.12",4,0,0,0,0,0
"ENSMUSG00000103810.1",0,0,0,0,6,0
"ENSMUSG00000083422.1",0,0,0,0,0,2
"ENSMUSG00000094979.1",0,0,0,0,0,0
"ENSMUSG00000081417.1",0,4,0,0,0,0
"ENSMUSG00000103448.1",0,0,0,0,0,0
"ENSMUSG00000100212.1",2,0,10,6,8,0
"ENSMUSG00000100648.1",0,0,0,0,0,0
"ENSMUSG00000088585.1",0,0,0,0,0,0
"ENSMUSG00000048960.13",222,252,346,1020,892,324
"ENSMUSG00000077318.1",0,0,0,2,0,0
"ENSMUSG00000101827.1",0,4,0,2,0,0
"ENSMUSG00000103494.1",0,0,0,0,0,0
"ENSMUSG00000057715.13",196,346,128,316,248,146
"ENSMUSG00000103825.1",2,2,2,0,0,0
"ENSMUSG00000099845.1",0,0,0,0,0,0
"ENSMUSG00000103561.1",0,0,0,0,0,0
"ENSMUSG00000101610.1",0,0,0,0,0,0
"ENSMUSG00000093864.1",0,0,0,0,0,0
"ENSMUSG00000098555.1",0,0,0,0,0,0
"ENSMUSG00000097628.1",4,0,2,0,0,2
"ENSMUSG00000098163.1",0,0,0,0,0,0
"ENSMUSG00000097171.1",0,0,0,0,0,0
"ENSMUSG00000101314.1",0,0,0,0,0,0
"ENSMUSG00000016918.15",3106,3482,6444,5976,6470,3676
"ENSMUSG00000025938.16",136,186,198,124,158,104
"ENSMUSG00000104518.1",0,0,0,0,0,0
"ENSMUSG00000069620.6",2,6,6,4,0,0
"ENSMUSG00000099498.1",18,16,16,4,0,2
"ENSMUSG00000042414.7",2112,2330,1332,1102,1628,804
"ENSMUSG00000005886.14",2394,2296,2272,2162,2732,1292
"ENSMUSG00000103506.1",0,2,0,0,0,0
"ENSMUSG00000103495.1",0,0,0,0,0,0
"ENSMUSG00000099183.1",0,0,0,0,0,2
"ENSMUSG00000102639.1",0,4,0,0,0,0
"ENSMUSG00000104170.1",0,0,0,2,0,0
"ENSMUSG00000087782.1",2,2,0,4,0,0
"ENSMUSG00000103085.1",6,32,30,28,4,8
"ENSMUSG00000102664.1",8,2,0,8,16,2
"ENSMUSG00000101476.1",0,10,0,0,0,0
"ENSMUSG00000101171.1",0,0,0,0,0,0
"ENSMUSG00000025935.10",2436,3622,3016,3504,3228,3458
"ENSMUSG00000025937.6",2322,3230,1314,2572,2102,2464
"ENSMUSG00000102982.1",36,92,20,46,38,14
"ENSMUSG00000067813.3",0,0,0,0,0,0
"ENSMUSG00000077368.1",0,0,0,0,0,0
"ENSMUSG00000097711.1",4,20,2,4,16,8
"ENSMUSG00000102166.1",0,2,0,0,0,0
"ENSMUSG00000089358.1",0,0,0,0,0,0
"ENSMUSG00000104209.1",0,0,0,0,0,0
"ENSMUSG00000025932.14",1290,1454,1972,1628,1748,1206
"ENSMUSG00000095853.1",6,0,6,0,6,0
"ENSMUSG00000102588.1",0,2,0,2,0,0
"ENSMUSG00000054493.2",85,42,63,92,162,52
"ENSMUSG00000025930.6",813,746,633,984,1276,480
"ENSMUSG00000103492.1",0,2,0,8,2,0
"ENSMUSG00000081201.1",4,0,0,0,0,0
"ENSMUSG00000082193.1",26,56,38,8,38,24
"ENSMUSG00000032769.5",78,102,70,250,298,212
"ENSMUSG00000088159.1",0,0,0,0,0,0
"ENSMUSG00000073737.3",2,0,8,0,6,0
"ENSMUSG00000092083.4",0,0,0,0,0,0
"ENSMUSG00000102937.1",0,0,0,0,0,0
"ENSMUSG00000104149.1",0,0,0,0,0,0
"ENSMUSG00000088829.1",0,0,0,0,0,0
"ENSMUSG00000077377.1",0,0,0,0,0,0
"ENSMUSG00000101652.1",0,0,0,0,0,0
"ENSMUSG00000100814.1",0,0,0,0,0,0
"ENSMUSG00000025925.14",4540,5784,4368,5096,5198,4614
"ENSMUSG00000104379.1",19,32,17,39,18,21
"ENSMUSG00000032719.4",13,30,11,19,14,21
"ENSMUSG00000088943.1",0,0,0,0,0,0
"ENSMUSG00000100652.1",0,0,0,0,0,0
"ENSMUSG00000067795.13",0,0,0,0,0,0
"ENSMUSG00000043716.13",48566,57618,37868,45120,50732,52744
"ENSMUSG00000025921.7",180,206,252,272,270,234
"ENSMUSG00000104165.1",0,0,0,0,0,0
"ENSMUSG00000100868.1",0,0,0,0,0,0
"ENSMUSG00000025920.19",242,340,166,194,200,104
"ENSMUSG00000089982.7",0,0,0,0,0,0
"ENSMUSG00000025939.18",545,1053,543,773,471,679
"ENSMUSG00000102457.1",13,1,11,5,15,3
"ENSMUSG00000079658.9",1774,2662,1890,2424,2156,2172
"ENSMUSG00000097744.1",0,0,2,0,0,0
"ENSMUSG00000100959.1",0,0,0,0,0,0
"ENSMUSG00000025940.6",464,680,328,520,418,374
"ENSMUSG00000025779.10",2,6,2,10,2,14
"ENSMUSG00000100093.1",0,0,0,0,0,0
"ENSMUSG00000091020.3",112,130,84,106,118,54
"ENSMUSG00000101640.1",2,0,2,0,1,0
"ENSMUSG00000104133.1",0,0,0,0,0,0
"ENSMUSG00000042686.5",44,22,24,32,29,38
"ENSMUSG00000100110.1",0,0,0,0,0,0
"ENSMUSG00000025777.8",20,6,6,12,8,16
"ENSMUSG00000099899.1",0,0,0,0,0,0
"ENSMUSG00000100272.1",0,0,0,0,0,0
"ENSMUSG00000100398.1",0,4,8,0,0,12
"ENSMUSG00000101589.1",12,28,4,10,20,8
"ENSMUSG00000102048.1",0,2,0,0,4,4
"ENSMUSG00000089534.1",0,0,0,0,0,0
"ENSMUSG00000067780.3",0,0,2,0,0,0
"ENSMUSG00000100053.1",0,0,0,0,0,0
"ENSMUSG00000085125.7",2,2,5,11,18,12
"ENSMUSG00000025776.13",82,124,67,111,124,180
"ENSMUSG00000099895.1",0,0,2,0,0,0
"ENSMUSG00000100554.1",0,0,0,0,0,0
"ENSMUSG00000099473.1",0,0,0,0,0,0
"ENSMUSG00000099591.1",4,2,0,0,6,0
"ENSMUSG00000109887.1",0,0,0,0,0,0
"ENSMUSG00000102001.1",0,0,0,0,0,0
"ENSMUSG00000101717.2",0,0,0,0,0,0
"ENSMUSG00000025774.14",0,0,0,0,0,0
"ENSMUSG00000070977.4",0,0,0,0,0,0
"ENSMUSG00000073735.1",0,0,0,0,0,0
"ENSMUSG00000067773.6",0,0,0,0,0,0
"ENSMUSG00000101685.1",0,0,0,0,0,0
"ENSMUSG00000101306.1",0,0,0,0,0,0
"ENSMUSG00000088800.1",0,0,0,0,0,0
"ENSMUSG00000101644.1",0,0,0,0,0,0
"ENSMUSG00000099433.1",0,0,2,0,0,0
"ENSMUSG00000089787.2",0,0,0,0,4,0
"ENSMUSG00000042596.7",6,0,0,2,4,0
"ENSMUSG00000100720.1",0,0,2,0,0,0
"ENSMUSG00000025927.13",0,0,0,2,0,0
"ENSMUSG00000100538.1",0,0,0,0,0,0
"ENSMUSG00000101117.1",0,0,0,0,0,0
"ENSMUSG00000100204.1",2,8,2,8,2,2
"ENSMUSG00000084668.1",0,0,0,0,0,0
"ENSMUSG00000102597.1",0,0,0,0,0,0
"ENSMUSG00000043760.16",8,23,20,74,123,4
"ENSMUSG00000104095.1",0,0,0,0,0,0
"ENSMUSG00000089914.2",0,1,0,0,1,0
"ENSMUSG00000090142.2",0,0,0,0,0,0
"ENSMUSG00000070175.1",0,0,0,0,0,0
"ENSMUSG00000099906.2",0,0,0,0,0,0
"ENSMUSG00000065559.1",0,0,0,0,0,0
